,0
0,2
1,2
2,4
3,2
4,3
5,2
6,3
7,2
8,4
9,4
10,2
11,3
12,4
13,2
14,4
15,4
16,4
17,4
18,3
19,4
20,4
21,3
22,4
23,3
24,2
25,3
26,3
27,3
28,3
29,3
30,2
31,4
32,4
33,4
34,4
35,4
36,3
37,3
38,4
39,3
40,3
41,4
42,2
43,2
44,4
45,4
46,4
47,2
48,4
49,4
50,3
51,4
52,2
53,3
54,4
55,4
56,4
57,3
58,2
59,4
60,2
61,2
62,2
63,2
64,2
65,4
66,2
67,2
68,4
69,2
70,2
71,4
72,3
73,3
74,4
75,4
76,4
77,2
78,3
79,4
80,4
81,2
82,3
83,3
84,3
85,2
86,3
87,3
88,4
89,4
90,4
91,2
92,2
93,2
94,4
95,3
96,4
97,2
98,4
99,3
100,3
101,3
102,4
103,4
104,2
105,4
106,2
107,2
108,3
109,4
110,4
111,2
112,3
113,3
114,4
115,4
116,4
117,2
118,4
119,2
120,3
121,2
122,2
123,2
124,4
125,3
126,3
127,2
128,3
129,2
130,2
131,2
132,3
133,2
134,3
135,2
136,4
137,4
138,2
139,4
140,4
141,3
142,2
143,4
144,2
145,3
146,3
147,3
148,3
149,2
150,4
151,4
152,2
153,2
154,4
155,3
156,3
157,2
158,4
159,2
160,3
161,2
162,4
163,4
164,3
165,4
166,2
167,2
168,4
169,2
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,2
179,4
180,4
181,3
182,4
183,4
184,4
185,3
186,4
187,4
188,3
189,2
190,4
191,3
192,3
193,2
194,3
195,4
196,2
197,3
198,4
199,3
200,4
201,2
202,4
203,4
204,4
205,3
206,2
207,4
208,4
209,4
210,4
211,4
212,2
213,4
214,2
215,4
216,3
217,4
218,4
219,2
220,4
221,2
222,2
223,4
224,2
225,3
226,4
227,2
228,2
229,2
230,4
231,3
232,3
233,3
234,2
235,2
236,3
237,2
238,3
239,3
240,4
241,4
242,4
243,4
244,4
245,4
